LATITUDE,LONGITUDE,CI,TAC,LCRID,ENODEB_ID,IBS_STATUS
10.720004,106.72766,11.0,6149.0,11.0,616116.0,1.0
10.720004,106.72766,12.0,6149.0,12.0,616116.0,1.0
21.069939,105.797013,11.0,1131.0,11.0,113725.0,1.0
21.069939,105.797013,12.0,1131.0,12.0,113725.0,1.0
16.029799,108.255847,11.0,4111.0,11.0,410765.0,1.0
20.864341,106.658539,11.0,1228.0,11.0,128084.0,1.0
21.02342,105.80934,11.0,1164.0,11.0,112997.0,1.0
21.02342,105.80934,12.0,1164.0,12.0,112997.0,1.0
21.02342,105.80934,51.0,1164.0,51.0,112997.0,1.0
21.02342,105.80934,52.0,1164.0,52.0,112997.0,1.0
21.00774,105.74704,12.0,1112.0,12.0,112970.0,1.0
21.00774,105.74704,11.0,1112.0,11.0,112970.0,1.0
20.952972,105.939317,11.0,1178.0,11.0,114167.0,1.0
20.952972,105.939317,12.0,1178.0,12.0,114167.0,1.0
21.000691,105.804478,11.0,1138.0,11.0,114166.0,1.0
21.000691,105.804478,12.0,1138.0,12.0,114166.0,1.0
21.025894,105.847276,11.0,1151.0,11.0,114185.0,1.0
16.466249,107.591751,11.0,4601.0,11.0,460387.0,1.0
21.055587,105.804871,11.0,1132.0,11.0,114258.0,1.0
21.055587,105.804871,12.0,1132.0,12.0,114258.0,1.0
21.055587,105.804871,51.0,1132.0,51.0,114258.0,1.0
21.055587,105.804871,52.0,1132.0,52.0,114258.0,1.0
11.056737,106.681493,11.0,6698.0,11.0,663177.0,1.0
11.056737,106.681493,12.0,6698.0,12.0,663177.0,1.0
21.019126,105.779921,11.0,1150.0,11.0,111023.0,1.0
21.019126,105.779921,12.0,1150.0,12.0,111023.0,1.0
10.77365,106.70123,13.0,6148.0,13.0,614902.0,1.0
10.77365,106.70123,11.0,6148.0,11.0,614902.0,1.0
10.77365,106.70123,12.0,6148.0,12.0,614902.0,1.0
10.77365,106.70123,53.0,6148.0,53.0,614902.0,1.0
10.77365,106.70123,52.0,6148.0,52.0,614902.0,1.0
21.0074,105.79317,11.0,1138.0,11.0,111028.0,1.0
21.0074,105.79317,12.0,1138.0,12.0,111028.0,1.0
21.0074,105.79317,51.0,1138.0,51.0,111028.0,1.0
21.0074,105.79317,52.0,1138.0,52.0,111028.0,1.0
21.04098,105.833742,11.0,1147.0,11.0,111192.0,1.0
21.04098,105.833742,12.0,1147.0,12.0,111192.0,1.0
21.04098,105.833742,13.0,1147.0,13.0,111192.0,1.0
21.00859,105.798346,11.0,1138.0,11.0,111205.0,1.0
21.00859,105.798346,12.0,1138.0,12.0,111205.0,1.0
10.129099,103.980711,11.0,7301.0,11.0,730760.0,1.0
21.007295,105.796593,11.0,1138.0,11.0,111030.0,1.0
